cycle,hit_valid,hit_bin,drain_ready,drain_valid,drain_bin,drain_count,occupancy,occupancy_max,overflow_count
0,1,10,1,0,0,0,1,1,0
1,1,10,1,0,0,0,1,1,0
2,1,10,1,1,10,2,1,1,0
3,1,10,1,0,10,1,1,1,0
4,1,10,1,1,10,2,1,1,0
5,1,10,1,0,10,1,1,1,0
6,1,10,1,1,10,2,1,1,0
7,1,10,1,0,10,1,1,1,0
8,1,10,1,1,10,2,1,1,0
9,1,10,1,0,10,1,1,1,0
10,1,10,1,1,10,2,1,1,0
11,1,10,1,0,10,1,1,1,0
12,1,10,1,1,10,2,1,1,0
13,1,10,1,0,10,1,1,1,0
14,1,10,1,1,10,2,1,1,0
15,1,10,1,0,10,1,1,1,0
16,1,10,1,1,10,2,1,1,0
17,1,10,1,0,10,1,1,1,0
18,1,10,1,1,10,2,1,1,0
19,1,10,1,0,10,1,1,1,0
20,0,0,1,1,10,2,0,1,0
21,0,0,1,0,10,0,0,1,0
22,0,0,1,0,10,0,0,1,0
23,0,0,1,0,10,0,0,1,0
24,0,0,1,0,10,0,0,1,0
25,0,0,1,0,10,0,0,1,0
26,0,0,1,0,10,0,0,1,0
27,0,0,1,0,10,0,0,1,0
28,0,0,1,0,10,0,0,1,0
29,0,0,1,0,10,0,0,1,0
30,0,0,1,0,10,0,0,1,0
31,0,0,1,0,10,0,0,1,0
32,0,0,1,0,10,0,0,1,0
33,0,0,1,0,10,0,0,1,0
34,0,0,1,0,10,0,0,1,0
35,0,0,1,0,10,0,0,1,0
36,0,0,1,0,10,0,0,1,0
37,0,0,1,0,10,0,0,1,0
38,0,0,1,0,10,0,0,1,0
39,0,0,1,0,10,0,0,1,0
40,0,0,1,0,10,0,0,1,0
41,0,0,1,0,10,0,0,1,0
42,0,0,1,0,10,0,0,1,0
43,0,0,1,0,10,0,0,1,0
44,0,0,1,0,10,0,0,1,0
45,0,0,1,0,10,0,0,1,0
46,0,0,1,0,10,0,0,1,0
47,0,0,1,0,10,0,0,1,0
48,0,0,1,0,10,0,0,1,0
49,0,0,1,0,10,0,0,1,0
50,0,0,1,0,10,0,0,1,0
51,0,0,1,0,10,0,0,1,0
52,0,0,1,0,10,0,0,1,0
53,0,0,1,0,10,0,0,1,0
54,0,0,1,0,10,0,0,1,0
55,0,0,1,0,10,0,0,1,0
56,0,0,1,0,10,0,0,1,0
57,0,0,1,0,10,0,0,1,0
58,0,0,1,0,10,0,0,1,0
59,0,0,1,0,10,0,0,1,0
60,0,0,1,0,10,0,0,1,0
61,0,0,1,0,10,0,0,1,0
62,0,0,1,0,10,0,0,1,0
63,0,0,1,0,10,0,0,1,0
64,0,0,1,0,10,0,0,1,0
65,0,0,1,0,10,0,0,1,0
66,0,0,1,0,10,0,0,1,0
67,0,0,1,0,10,0,0,1,0
68,0,0,1,0,10,0,0,1,0
69,0,0,1,0,10,0,0,1,0
70,1,0,0,0,10,0,1,1,0
71,1,1,0,0,10,0,2,2,0
72,1,2,0,0,0,1,3,3,0
73,1,3,0,0,0,1,4,4,0
74,1,4,0,0,0,1,5,5,0
75,1,5,0,0,0,1,6,6,0
76,1,6,0,0,0,1,7,7,0
77,1,7,0,0,0,1,8,8,0
78,1,8,0,0,0,1,9,9,0
79,1,9,0,0,0,1,10,10,0
80,1,10,0,0,0,1,11,11,0
81,1,11,0,0,0,1,12,12,0
82,1,12,0,0,0,1,13,13,0
83,1,13,0,0,0,1,14,14,0
84,1,14,0,0,0,1,15,15,0
85,1,15,0,0,0,1,16,16,0
86,1,16,0,0,0,1,17,17,0
87,1,17,0,0,0,1,18,18,0
88,1,18,0,0,0,1,19,19,0
89,1,19,0,0,0,1,20,20,0
90,1,20,0,0,0,1,21,21,0
91,1,21,0,0,0,1,22,22,0
92,1,22,0,0,0,1,23,23,0
93,1,23,0,0,0,1,24,24,0
94,1,24,0,0,0,1,25,25,0
95,1,25,0,0,0,1,26,26,0
96,1,26,0,0,0,1,27,27,0
97,1,27,0,0,0,1,28,28,0
98,1,28,0,0,0,1,29,29,0
99,1,29,0,0,0,1,30,30,0
100,1,30,0,0,0,1,31,31,0
101,1,31,0,0,0,1,32,32,0
102,1,32,0,0,0,1,33,33,0
103,1,33,0,0,0,1,34,34,0
104,1,34,0,0,0,1,35,35,0
105,1,35,0,0,0,1,36,36,0
106,1,36,0,0,0,1,37,37,0
107,1,37,0,0,0,1,38,38,0
108,1,38,0,0,0,1,39,39,0
109,1,39,0,0,0,1,40,40,0
110,1,40,0,0,0,1,41,41,0
111,1,41,0,0,0,1,42,42,0
112,1,42,0,0,0,1,43,43,0
113,1,43,0,0,0,1,44,44,0
114,1,44,0,0,0,1,45,45,0
115,1,45,0,0,0,1,46,46,0
116,1,46,0,0,0,1,47,47,0
117,1,47,0,0,0,1,48,48,0
118,1,48,0,0,0,1,49,49,0
119,1,49,0,0,0,1,50,50,0
120,1,50,0,0,0,1,51,51,0
121,1,51,0,0,0,1,52,52,0
122,1,52,0,0,0,1,53,53,0
123,1,53,0,0,0,1,54,54,0
124,1,54,0,0,0,1,55,55,0
125,1,55,0,0,0,1,56,56,0
126,1,56,0,0,0,1,57,57,0
127,1,57,0,0,0,1,58,58,0
128,1,58,0,0,0,1,59,59,0
129,1,59,0,0,0,1,60,60,0
130,1,60,0,0,0,1,61,61,0
131,1,61,0,0,0,1,62,62,0
132,1,62,0,0,0,1,63,63,0
133,1,63,0,0,0,1,64,64,0
134,1,64,0,0,0,1,65,65,0
135,1,65,0,0,0,1,66,66,0
136,1,66,0,0,0,1,67,67,0
137,1,67,0,0,0,1,68,68,0
138,1,68,0,0,0,1,69,69,0
139,1,69,0,0,0,1,70,70,0
140,1,70,0,0,0,1,71,71,0
141,1,71,0,0,0,1,72,72,0
142,1,72,0,0,0,1,73,73,0
143,1,73,0,0,0,1,74,74,0
144,1,74,0,0,0,1,75,75,0
145,1,75,0,0,0,1,76,76,0
146,1,76,0,0,0,1,77,77,0
147,1,77,0,0,0,1,78,78,0
148,1,78,0,0,0,1,79,79,0
149,1,79,0,0,0,1,80,80,0
150,1,80,0,0,0,1,81,81,0
151,1,81,0,0,0,1,82,82,0
152,1,82,0,0,0,1,83,83,0
153,1,83,0,0,0,1,84,84,0
154,1,84,0,0,0,1,85,85,0
155,1,85,0,0,0,1,86,86,0
156,1,86,0,0,0,1,87,87,0
157,1,87,0,0,0,1,88,88,0
158,1,88,0,0,0,1,89,89,0
159,1,89,0,0,0,1,90,90,0
160,1,90,0,0,0,1,91,91,0
161,1,91,0,0,0,1,92,92,0
162,1,92,0,0,0,1,93,93,0
163,1,93,0,0,0,1,94,94,0
164,1,94,0,0,0,1,95,95,0
165,1,95,0,0,0,1,96,96,0
166,1,96,0,0,0,1,97,97,0
167,1,97,0,0,0,1,98,98,0
168,1,98,0,0,0,1,99,99,0
169,1,99,0,0,0,1,100,100,0
170,1,100,0,0,0,1,101,101,0
171,1,101,0,0,0,1,102,102,0
172,1,102,0,0,0,1,103,103,0
173,1,103,0,0,0,1,104,104,0
174,1,104,0,0,0,1,105,105,0
175,1,105,0,0,0,1,106,106,0
176,1,106,0,0,0,1,107,107,0
177,1,107,0,0,0,1,108,108,0
178,1,108,0,0,0,1,109,109,0
179,1,109,0,0,0,1,110,110,0
180,1,110,0,0,0,1,111,111,0
181,1,111,0,0,0,1,112,112,0
182,1,112,0,0,0,1,113,113,0
183,1,113,0,0,0,1,114,114,0
184,1,114,0,0,0,1,115,115,0
185,1,115,0,0,0,1,116,116,0
186,1,116,0,0,0,1,117,117,0
187,1,117,0,0,0,1,118,118,0
188,1,118,0,0,0,1,119,119,0
189,1,119,0,0,0,1,120,120,0
190,1,120,0,0,0,1,121,121,0
191,1,121,0,0,0,1,122,122,0
192,1,122,0,0,0,1,123,123,0
193,1,123,0,0,0,1,124,124,0
194,1,124,0,0,0,1,125,125,0
195,1,125,0,0,0,1,126,126,0
196,1,126,0,0,0,1,127,127,0
197,1,127,0,0,0,1,128,128,0
198,1,128,0,0,0,1,129,129,0
199,1,129,0,0,0,1,130,130,0
200,1,130,0,0,0,1,131,131,0
201,1,131,0,0,0,1,132,132,0
202,1,132,0,0,0,1,133,133,0
203,1,133,0,0,0,1,134,134,0
204,1,134,0,0,0,1,135,135,0
205,1,135,0,0,0,1,136,136,0
206,1,136,0,0,0,1,137,137,0
207,1,137,0,0,0,1,138,138,0
208,1,138,0,0,0,1,139,139,0
209,1,139,0,0,0,1,140,140,0
210,1,140,0,0,0,1,141,141,0
211,1,141,0,0,0,1,142,142,0
212,1,142,0,0,0,1,143,143,0
213,1,143,0,0,0,1,144,144,0
214,1,144,0,0,0,1,145,145,0
215,1,145,0,0,0,1,146,146,0
216,1,146,0,0,0,1,147,147,0
217,1,147,0,0,0,1,148,148,0
218,1,148,0,0,0,1,149,149,0
219,1,149,0,0,0,1,150,150,0
220,1,150,0,0,0,1,151,151,0
221,1,151,0,0,0,1,152,152,0
222,1,152,0,0,0,1,153,153,0
223,1,153,0,0,0,1,154,154,0
224,1,154,0,0,0,1,155,155,0
225,1,155,0,0,0,1,156,156,0
226,1,156,0,0,0,1,157,157,0
227,1,157,0,0,0,1,158,158,0
228,1,158,0,0,0,1,159,159,0
229,1,159,0,0,0,1,160,160,0
230,1,160,0,0,0,1,160,160,1
231,1,161,0,0,0,1,160,160,2
232,1,162,0,0,0,1,160,160,3
233,1,163,0,0,0,1,160,160,4
234,1,164,0,0,0,1,160,160,5
235,1,165,0,0,0,1,160,160,6
236,1,166,0,0,0,1,160,160,7
237,1,167,0,0,0,1,160,160,8
238,1,168,0,0,0,1,160,160,9
239,1,169,0,0,0,1,160,160,10
240,1,170,0,0,0,1,160,160,11
241,1,171,0,0,0,1,160,160,12
242,1,172,0,0,0,1,160,160,13
243,1,173,0,0,0,1,160,160,14
244,1,174,0,0,0,1,160,160,15
245,1,175,0,0,0,1,160,160,16
246,1,176,0,0,0,1,160,160,17
247,1,177,0,0,0,1,160,160,18
248,1,178,0,0,0,1,160,160,19
249,1,179,0,0,0,1,160,160,20
250,1,180,0,0,0,1,160,160,21
251,1,181,0,0,0,1,160,160,22
252,1,182,0,0,0,1,160,160,23
253,1,183,0,0,0,1,160,160,24
254,1,184,0,0,0,1,160,160,25
255,1,185,0,0,0,1,160,160,26
256,1,186,0,0,0,1,160,160,27
257,1,187,0,0,0,1,160,160,28
258,1,188,0,0,0,1,160,160,29
259,1,189,0,0,0,1,160,160,30
260,1,190,0,0,0,1,160,160,31
261,1,191,0,0,0,1,160,160,32
262,1,192,0,0,0,1,160,160,33
263,1,193,0,0,0,1,160,160,34
264,1,194,0,0,0,1,160,160,35
265,1,195,0,0,0,1,160,160,36
266,1,196,0,0,0,1,160,160,37
267,1,197,0,0,0,1,160,160,38
268,1,198,0,0,0,1,160,160,39
269,1,199,0,0,0,1,160,160,40
270,0,0,1,1,0,1,159,160,40
271,0,0,1,1,1,1,158,160,40
272,0,0,1,1,2,1,157,160,40
273,0,0,1,1,3,1,156,160,40
274,0,0,1,1,4,1,155,160,40
275,0,0,1,1,5,1,154,160,40
276,0,0,1,1,6,1,153,160,40
277,0,0,1,1,7,1,152,160,40
278,0,0,1,1,8,1,151,160,40
279,0,0,1,1,9,1,150,160,40
280,0,0,1,1,10,1,149,160,40
281,0,0,1,1,11,1,148,160,40
282,0,0,1,1,12,1,147,160,40
283,0,0,1,1,13,1,146,160,40
284,0,0,1,1,14,1,145,160,40
285,0,0,1,1,15,1,144,160,40
286,0,0,1,1,16,1,143,160,40
287,0,0,1,1,17,1,142,160,40
288,0,0,1,1,18,1,141,160,40
289,0,0,1,1,19,1,140,160,40
290,0,0,1,1,20,1,139,160,40
291,0,0,1,1,21,1,138,160,40
292,0,0,1,1,22,1,137,160,40
293,0,0,1,1,23,1,136,160,40
294,0,0,1,1,24,1,135,160,40
295,0,0,1,1,25,1,134,160,40
296,0,0,1,1,26,1,133,160,40
297,0,0,1,1,27,1,132,160,40
298,0,0,1,1,28,1,131,160,40
299,0,0,1,1,29,1,130,160,40
300,0,0,1,1,30,1,129,160,40
301,0,0,1,1,31,1,128,160,40
302,0,0,1,1,32,1,127,160,40
303,0,0,1,1,33,1,126,160,40
304,0,0,1,1,34,1,125,160,40
305,0,0,1,1,35,1,124,160,40
306,0,0,1,1,36,1,123,160,40
307,0,0,1,1,37,1,122,160,40
308,0,0,1,1,38,1,121,160,40
309,0,0,1,1,39,1,120,160,40
310,0,0,1,1,40,1,119,160,40
311,0,0,1,1,41,1,118,160,40
312,0,0,1,1,42,1,117,160,40
313,0,0,1,1,43,1,116,160,40
314,0,0,1,1,44,1,115,160,40
315,0,0,1,1,45,1,114,160,40
316,0,0,1,1,46,1,113,160,40
317,0,0,1,1,47,1,112,160,40
318,0,0,1,1,48,1,111,160,40
319,0,0,1,1,49,1,110,160,40
320,0,0,1,1,50,1,109,160,40
321,0,0,1,1,51,1,108,160,40
322,0,0,1,1,52,1,107,160,40
323,0,0,1,1,53,1,106,160,40
324,0,0,1,1,54,1,105,160,40
325,0,0,1,1,55,1,104,160,40
326,0,0,1,1,56,1,103,160,40
327,0,0,1,1,57,1,102,160,40
328,0,0,1,1,58,1,101,160,40
329,0,0,1,1,59,1,100,160,40
330,0,0,1,1,60,1,99,160,40
331,0,0,1,1,61,1,98,160,40
332,0,0,1,1,62,1,97,160,40
333,0,0,1,1,63,1,96,160,40
334,0,0,1,1,64,1,95,160,40
335,0,0,1,1,65,1,94,160,40
336,0,0,1,1,66,1,93,160,40
337,0,0,1,1,67,1,92,160,40
338,0,0,1,1,68,1,91,160,40
339,0,0,1,1,69,1,90,160,40
340,0,0,1,1,70,1,89,160,40
341,0,0,1,1,71,1,88,160,40
342,0,0,1,1,72,1,87,160,40
343,0,0,1,1,73,1,86,160,40
344,0,0,1,1,74,1,85,160,40
345,0,0,1,1,75,1,84,160,40
346,0,0,1,1,76,1,83,160,40
347,0,0,1,1,77,1,82,160,40
